0X03FF00 0X6C
0X03FF01 0XE1
0X03FF02 0X5E
0X03FF03 0XE7
0X03FF04 0XD4
0X03FF05 0XDC
0X03FF06 0XF6
0X03FF07 0XA0
0X03FF08 0XDC
0X03FF09 0X9D
0X03FF0A 0X7F
0X03FF0B 0X93
0X03FF0C 0XB4
0X03FF0D 0XED
0X03FF0E 0XD9
0X03FF0F 0XD9
0X03FF10 0XFC
0X03FF11 0X02
0X03FF12 0X77
0X03FF13 0X4F
0X03FF14 0X27
0X03FF15 0X6E
0X03FF16 0X52
0X03FF17 0X10
0X03FF18 0XF8
0X03FF19 0XDD
0X03FF1A 0X0B
0X03FF1B 0X73
0X03FF1C 0XAD
0X03FF1D 0XDD
0X03FF1E 0X70
0X03FF1F 0XD4
0X03FF20 0XD9
0X03FF21 0XEC
0X03FF22 0XCE
0X03FF23 0XD9
0X03FF24 0X58
0X03FF25 0X3F
0X03FF26 0XC9
0X03FF27 0X0B
0X03FF28 0X4C
0X03FF29 0X7D
0X03FF2A 0X05
0X03FF2B 0XEF
0X03FF2C 0XD6
0X03FF2D 0XEB
0X03FF2E 0X31
0X03FF2F 0X8E
0X03FF30 0XA9
0X03FF31 0X7F
0X03FF32 0X58
0X03FF33 0X2A
0X03FF34 0X35
0X03FF35 0X31
0X03FF36 0X90
0X03FF37 0XFB
0X03FF38 0X43
0X03FF39 0XD3
0X03FF3A 0XD6
0X03FF3B 0X46
0X03FF3C 0X91
0X03FF3D 0XEF
0X03FF3E 0XBD
0X03FF3F 0X9E
0X03FF40 0X1C
0X03FF41 0X24
0X03FF42 0X30
0X03FF43 0X89
0X03FF44 0X4F
0X03FF45 0X95
0X03FF46 0XCB
0X03FF47 0XA1
0X03FF48 0XA2
0X03FF49 0XD9
0X03FF4A 0X82
0X03FF4B 0XE1
0X03FF4C 0XD9
0X03FF4D 0X3D
0X03FF4E 0XB6
0X03FF4F 0XCC
0X03FF50 0X11
0X03FF51 0X9A
0X03FF52 0X37
0X03FF53 0X9B
0X03FF54 0X62
0X03FF55 0XB7
0X03FF56 0XB5
0X03FF57 0XDD
0X03FF58 0X7A
0X03FF59 0X1F
0X03FF5A 0XBC
0X03FF5B 0XF3
0X03FF5C 0X7E
0X03FF5D 0X8B
0X03FF5E 0XA1
0X03FF5F 0XFA
0X03FF60 0X74
0X03FF61 0X57
0X03FF62 0X23
0X03FF63 0XD9
0X03FF64 0X2F
0X03FF65 0X25
0X03FF66 0X19
0X03FF67 0X8D
0X03FF68 0X50
0X03FF69 0X85
0X03FF6A 0XFA
0X03FF6B 0X60
0X03FF6C 0XAD
0X03FF6D 0X87
0X03FF6E 0XF8
0X03FF6F 0X4B
0X03FF70 0X6A
0X03FF71 0XD9
0X03FF72 0XE6
0X03FF73 0XA7
0X03FF74 0XA2
0X03FF75 0XD1
0X03FF76 0XB0
0X03FF77 0X5B
0X03FF78 0XA5
0X03FF79 0X1F
0X03FF7A 0X26
0X03FF7B 0X0A
0X03FF7C 0XD7
0X03FF7D 0XA9
0X03FF7E 0X9C
0X03FF7F 0X86
0X03FF80 0X67
0X03FF81 0X35
0X03FF82 0X5C
0X03FF83 0XC7
0X03FF84 0X7E
0X03FF85 0X37
0X03FF86 0X81
0X03FF87 0XAA
0X03FF88 0XCC
0X03FF89 0X13
0X03FF8A 0X69
0X03FF8B 0X50
0X03FF8C 0XB0
0X03FF8D 0X7B
0X03FF8E 0X0A
0X03FF8F 0XBA
0X03FF90 0X1B
0X03FF91 0X96
0X03FF92 0XF8
0X03FF93 0XC7
0X03FF94 0X2A
0X03FF95 0X80
0X03FF96 0X32
0X03FF97 0X9D
0X03FF98 0X78
0X03FF99 0XB1
0X03FF9A 0XDE
0X03FF9B 0X02
0X03FF9C 0X7F
0X03FF9D 0XE2
0X03FF9E 0XE9
0X03FF9F 0X73
0X03FFA0 0X79
0X03FFA1 0X0C
0X03FFA2 0X88
0X03FFA3 0X03
0X03FFA4 0X6B
0X03FFA5 0X9A
0X03FFA6 0XFD
0X03FFA7 0X5E
0X03FFA8 0XE2
0X03FFA9 0X5E
0X03FFAA 0XF0
0X03FFAB 0XF0
0X03FFAC 0X95
0X03FFAD 0X96
0X03FFAE 0XC5
0X03FFAF 0X21
0X03FFB0 0X27
0X03FFB1 0X3C
0X03FFB2 0X89
0X03FFB3 0X2E
0X03FFB4 0X90
0X03FFB5 0X46
0X03FFB6 0X70
0X03FFB7 0X1B
0X03FFB8 0X9D
0X03FFB9 0X7D
0X03FFBA 0X4C
0X03FFBB 0X44
