0X06FF00 0XF0
0X06FF01 0X92
0X06FF02 0X02
0X06FF03 0XCE
0X06FF04 0X11
0X06FF05 0XE9
0X06FF06 0XBF
0X06FF07 0X09
0X06FF08 0X6F
0X06FF09 0X00
0X06FF0A 0X51
0X06FF0B 0X38
0X06FF0C 0XE0
0X06FF0D 0X45
0X06FF0E 0XD1
0X06FF0F 0X87
0X06FF10 0XFA
0X06FF11 0XA8
0X06FF12 0X1F
0X06FF13 0XA1
0X06FF14 0X58
0X06FF15 0X51
0X06FF16 0X6C
0X06FF17 0XDF
0X06FF18 0X12
0X06FF19 0X75
0X06FF1A 0XB5
0X06FF1B 0X8A
0X06FF1C 0X28
0X06FF1D 0X47
0X06FF1E 0XCD
0X06FF1F 0X7C
0X06FF20 0X0F
0X06FF21 0X73
0X06FF22 0X35
0X06FF23 0X6C
0X06FF24 0XAE
0X06FF25 0X60
0X06FF26 0X0A
0X06FF27 0XCE
0X06FF28 0XB1
0X06FF29 0XF5
0X06FF2A 0X33
0X06FF2B 0X25
0X06FF2C 0X61
0X06FF2D 0X00
0X06FF2E 0X6C
0X06FF2F 0X85
0X06FF30 0XF3
0X06FF31 0XE3
0X06FF32 0XB6
0X06FF33 0XCC
0X06FF34 0XD4
0X06FF35 0X75
0X06FF36 0X47
0X06FF37 0X90
0X06FF38 0X08
0X06FF39 0X42
0X06FF3A 0XFC
0X06FF3B 0XD5
0X06FF3C 0X2C
0X06FF3D 0X65
0X06FF3E 0X40
0X06FF3F 0X79
0X06FF40 0X60
0X06FF41 0X00
0X06FF42 0X0A
0X06FF43 0X9B
0X06FF44 0X57
0X06FF45 0XB3
0X06FF46 0XB2
0X06FF47 0X94
0X06FF48 0XE7
0X06FF49 0X31
0X06FF4A 0X30
0X06FF4B 0X76
0X06FF4C 0XE6
0X06FF4D 0X34
0X06FF4E 0XC1
0X06FF4F 0XD1
0X06FF50 0X9A
0X06FF51 0X0F
0X06FF52 0XE9
0X06FF53 0XA6
0X06FF54 0XE3
0X06FF55 0X1D
0X06FF56 0XC6
0X06FF57 0XF6
0X06FF58 0X0F
0X06FF59 0XE5
0X06FF5A 0X94
0X06FF5B 0X60
0X06FF5C 0X08
0X06FF5D 0X5F
0X06FF5E 0XC4
0X06FF5F 0X7E
0X06FF60 0XDF
0X06FF61 0X02
0X06FF62 0X11
0X06FF63 0X33
0X06FF64 0X3F
0X06FF65 0XFE
0X06FF66 0X45
0X06FF67 0X74
0X06FF68 0X83
0X06FF69 0X1F
0X06FF6A 0X1C
0X06FF6B 0XC8
0X06FF6C 0XAC
0X06FF6D 0X07
0X06FF6E 0X71
0X06FF6F 0X7F
0X06FF70 0XFB
0X06FF71 0XA5
0X06FF72 0XEA
0X06FF73 0X18
0X06FF74 0X32
0X06FF75 0X89
0X06FF76 0X91
0X06FF77 0X97
0X06FF78 0XC1
0X06FF79 0XBD
0X06FF7A 0X5A
0X06FF7B 0XD7
0X06FF7C 0X42
0X06FF7D 0X3F
0X06FF7E 0X28
0X06FF7F 0XD9
0X06FF80 0X3E
0X06FF81 0X45
0X06FF82 0XBE
0X06FF83 0X0B
0X06FF84 0X6C
0X06FF85 0X00
0X06FF86 0XE6
0X06FF87 0X61
0X06FF88 0X7A
0X06FF89 0XD1
0X06FF8A 0X8B
0X06FF8B 0X02
0X06FF8C 0X08
0X06FF8D 0X15
0X06FF8E 0X6F
0X06FF8F 0XE5
0X06FF90 0X7C
0X06FF91 0X25
0X06FF92 0XE3
0X06FF93 0XB2
0X06FF94 0X0B
0X06FF95 0XA6
0X06FF96 0X2B
0X06FF97 0X25
0X06FF98 0XD8
0X06FF99 0XC9
0X06FF9A 0XDD
0X06FF9B 0XB0
0X06FF9C 0X13
0X06FF9D 0XF4
0X06FF9E 0XE6
0X06FF9F 0X38
0X06FFA0 0X58
0X06FFA1 0XCE
0X06FFA2 0X1F
0X06FFA3 0X95
0X06FFA4 0X0A
0X06FFA5 0X1B
0X06FFA6 0XA3
0X06FFA7 0X01
0X06FFA8 0XAA
0X06FFA9 0X85
0X06FFAA 0XB3
0X06FFAB 0X29
0X06FFAC 0XCE
0X06FFAD 0X96
0X06FFAE 0XCB
0X06FFAF 0XFA
0X06FFB0 0X8F
0X06FFB1 0X00
0X06FFB2 0XC5
0X06FFB3 0XCA
0X06FFB4 0X98
0X06FFB5 0XA0
0X06FFB6 0X8D
0X06FFB7 0XCC
0X06FFB8 0X91
0X06FFB9 0X07
0X06FFBA 0X56
0X06FFBB 0X18
0X06FFBC 0X96
0X06FFBD 0XB7
0X06FFBE 0XFB
0X06FFBF 0XA6
0X06FFC0 0XC1
0X06FFC1 0X3A
0X06FFC2 0XB2
0X06FFC3 0X00
0X06FFC4 0XDB
0X06FFC5 0X5C
0X06FFC6 0XC4
0X06FFC7 0X08
0X06FFC8 0X31
0X06FFC9 0X73
0X06FFCA 0X98
0X06FFCB 0X62
0X06FFCC 0X78
0X06FFCD 0X00
0X06FFCE 0XE5
0X06FFCF 0X00
0X06FFD0 0X67
0X06FFD1 0X26
0X06FFD2 0X6B
0X06FFD3 0XD8
0X06FFD4 0XCB
0X06FFD5 0XE6
0X06FFD6 0XE2
0X06FFD7 0X41
0X06FFD8 0X5F
0X06FFD9 0XE2
0X06FFDA 0X11
0X06FFDB 0X88
0X06FFDC 0XA0
0X06FFDD 0X7F
0X06FFDE 0X4B
0X06FFDF 0X96
0X06FFE0 0XB0
0X06FFE1 0X99
0X06FFE2 0XBF
0X06FFE3 0X58
0X06FFE4 0X74
0X06FFE5 0X79
0X06FFE6 0X2B
0X06FFE7 0X4A
0X06FFE8 0X18
0X06FFE9 0X4C
0X06FFEA 0X1E
0X06FFEB 0XE3
0X06FFEC 0X9F
0X06FFED 0XCD
0X06FFEE 0X29
0X06FFEF 0X3F
0X06FFF0 0XAD
0X06FFF1 0XEB
0X06FFF2 0X44
0X06FFF3 0XCD
0X06FFF4 0X7E
0X06FFF5 0XC5
0X06FFF6 0XAE
