0X08FF00 0XEC
0X08FF01 0XE1
0X08FF02 0X9B
0X08FF03 0XB4
0X08FF04 0XE4
0X08FF05 0X47
0X08FF06 0XD5
0X08FF07 0X50
0X08FF08 0XB0
0X08FF09 0X5C
0X08FF0A 0X1E
0X08FF0B 0XBD
0X08FF0C 0XA3
0X08FF0D 0X00
0X08FF0E 0X0B
0X08FF0F 0X1F
0X08FF10 0XCB
0X08FF11 0X3A
0X08FF12 0XD4
0X08FF13 0XA7
0X08FF14 0X01
0X08FF15 0XAA
0X08FF16 0X1B
0X08FF17 0X75
0X08FF18 0XD7
0X08FF19 0X81
0X08FF1A 0X46
0X08FF1B 0XCB
0X08FF1C 0X75
0X08FF1D 0XCE
0X08FF1E 0X29
0X08FF1F 0XDE
0X08FF20 0X89
0X08FF21 0X5B
0X08FF22 0X38
0X08FF23 0XBF
0X08FF24 0X02
0X08FF25 0XF6
0X08FF26 0X90
0X08FF27 0X03
0X08FF28 0X0E
0X08FF29 0X40
0X08FF2A 0X44
0X08FF2B 0X13
0X08FF2C 0XD7
0X08FF2D 0X89
0X08FF2E 0XB1
0X08FF2F 0X2C
0X08FF30 0X68
0X08FF31 0X69
0X08FF32 0XF5
0X08FF33 0X2E
0X08FF34 0XAC
0X08FF35 0X1C
0X08FF36 0XC5
0X08FF37 0X86
0X08FF38 0XC3
0X08FF39 0XBC
0X08FF3A 0XD0
0X08FF3B 0XE4
0X08FF3C 0X64
0X08FF3D 0XA6
0X08FF3E 0X83
0X08FF3F 0X0F
0X08FF40 0X67
0X08FF41 0X11
0X08FF42 0XB5
0X08FF43 0XA4
0X08FF44 0X80
0X08FF45 0XBC
0X08FF46 0X2A
0X08FF47 0XB3
0X08FF48 0X56
0X08FF49 0XFF
0X08FF4A 0X4C
0X08FF4B 0X1E
0X08FF4C 0XCA
0X08FF4D 0XF4
0X08FF4E 0X11
0X08FF4F 0X07
0X08FF50 0X04
0X08FF51 0XFC
0X08FF52 0X07
0X08FF53 0X14
0X08FF54 0X0D
0X08FF55 0X41
0X08FF56 0X61
0X08FF57 0X05
0X08FF58 0X8D
0X08FF59 0XBE
0X08FF5A 0X6A
0X08FF5B 0X3E
0X08FF5C 0X91
0X08FF5D 0X61
0X08FF5E 0X86
0X08FF5F 0X84
0X08FF60 0XF5
0X08FF61 0X3F
0X08FF62 0X97
0X08FF63 0X01
