0X09FF00 0XFE
0X09FF01 0XF9
0X09FF02 0X02
0X09FF03 0X75
0X09FF04 0X98
0X09FF05 0X85
0X09FF06 0XE7
0X09FF07 0XA7
0X09FF08 0X42
0X09FF09 0X1B
0X09FF0A 0X00
0X09FF0B 0XC5
0X09FF0C 0X60
0X09FF0D 0X1C
0X09FF0E 0X3D
0X09FF0F 0X91
0X09FF10 0X51
0X09FF11 0X33
0X09FF12 0X06
0X09FF13 0X04
0X09FF14 0X94
0X09FF15 0X4E
0X09FF16 0XBE
0X09FF17 0XBC
0X09FF18 0XBD
0X09FF19 0XCB
0X09FF1A 0X5A
0X09FF1B 0X1A
0X09FF1C 0X16
0X09FF1D 0X73
0X09FF1E 0X83
0X09FF1F 0XEE
0X09FF20 0XA8
0X09FF21 0X50
0X09FF22 0X55
0X09FF23 0XE4
0X09FF24 0XDC
0X09FF25 0XEF
0X09FF26 0X7B
0X09FF27 0X7B
0X09FF28 0X53
0X09FF29 0X57
0X09FF2A 0XDA
0X09FF2B 0X95
0X09FF2C 0X02
0X09FF2D 0X9D
0X09FF2E 0X58
0X09FF2F 0X70
0X09FF30 0XE6
0X09FF31 0XA0
0X09FF32 0X8B
0X09FF33 0X01
0X09FF34 0X19
0X09FF35 0X78
0X09FF36 0XE6
0X09FF37 0X17
0X09FF38 0X9D
0X09FF39 0X98
0X09FF3A 0XA9
0X09FF3B 0X23
0X09FF3C 0XC9
0X09FF3D 0X39
0X09FF3E 0X1C
0X09FF3F 0X0B
0X09FF40 0X92
0X09FF41 0XA7
0X09FF42 0X42
0X09FF43 0X22
0X09FF44 0XD9
0X09FF45 0X20
0X09FF46 0XF0
0X09FF47 0X9B
0X09FF48 0XEE
0X09FF49 0X4F
0X09FF4A 0XC8
0X09FF4B 0X05
0X09FF4C 0XF7
0X09FF4D 0XAE
0X09FF4E 0X4E
0X09FF4F 0XC3
0X09FF50 0X12
0X09FF51 0XCB
0X09FF52 0X23
0X09FF53 0X4C
0X09FF54 0XD4
0X09FF55 0XE6
0X09FF56 0X3E
0X09FF57 0X28
0X09FF58 0X00
0X09FF59 0X90
0X09FF5A 0X9F
0X09FF5B 0XA1
0X09FF5C 0X39
0X09FF5D 0XE4
0X09FF5E 0XEB
0X09FF5F 0X58
0X09FF60 0X8E
0X09FF61 0XE3
0X09FF62 0X37
0X09FF63 0X21
0X09FF64 0X5B
0X09FF65 0XC4
0X09FF66 0X18
0X09FF67 0X65
0X09FF68 0X19
0X09FF69 0X68
0X09FF6A 0X40
0X09FF6B 0XBF
0X09FF6C 0XE7
0X09FF6D 0XFC
0X09FF6E 0X7E
0X09FF6F 0X5E
0X09FF70 0X3A
0X09FF71 0X2F
0X09FF72 0X8E
0X09FF73 0X3F
0X09FF74 0X33
0X09FF75 0X5B
0X09FF76 0X80
0X09FF77 0XB4
0X09FF78 0XC8
0X09FF79 0XBB
0X09FF7A 0XB0
0X09FF7B 0X47
0X09FF7C 0XC9
0X09FF7D 0X2C
0X09FF7E 0X1A
0X09FF7F 0XFF
0X09FF80 0X51
0X09FF81 0X8B
0X09FF82 0X8E
0X09FF83 0X21
0X09FF84 0XD9
0X09FF85 0X00
0X09FF86 0X75
0X09FF87 0XDB
0X09FF88 0XEA
0X09FF89 0X5C
0X09FF8A 0XC6
0X09FF8B 0X94
0X09FF8C 0X5E
0X09FF8D 0XEC
0X09FF8E 0XDA
0X09FF8F 0X97
0X09FF90 0XCE
0X09FF91 0X26
0X09FF92 0XF8
0X09FF93 0XEF
0X09FF94 0X55
0X09FF95 0XD0
0X09FF96 0XD3
0X09FF97 0X0A
0X09FF98 0X2B
0X09FF99 0XEE
0X09FF9A 0X1E
0X09FF9B 0X57
0X09FF9C 0X11
0X09FF9D 0X6D
0X09FF9E 0XCE
0X09FF9F 0X40
0X09FFA0 0XCE
0X09FFA1 0X00
0X09FFA2 0X9B
0X09FFA3 0X5A
0X09FFA4 0X80
0X09FFA5 0XB4
0X09FFA6 0X60
0X09FFA7 0X51
0X09FFA8 0X3A
0X09FFA9 0X96
0X09FFAA 0X9F
0X09FFAB 0X75
0X09FFAC 0XD8
0X09FFAD 0XB0
0X09FFAE 0X00
0X09FFAF 0XE9
0X09FFB0 0X75
0X09FFB1 0X8E
0X09FFB2 0X38
0X09FFB3 0XA4
0X09FFB4 0XAD
